id,oai_id,value,order,file,verified,entry_type,has_attach,link_to_content
13086,oai:www.wbc.poznan.pl:46605,niewolnica maharadży,other_page,0023.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/46605
13087,oai:www.wbc.poznan.pl:46605,uśmiechnij się (rubryka),other_page,0021.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/46605
13088,oai:www.wbc.poznan.pl:46605,dobre rady pani wandy (rubryka),other_page,0021.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/46605
13089,oai:www.wbc.poznan.pl:46605,DOX,first_page,0019.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/46605
13090,oai:www.wbc.poznan.pl:46605,na dzień dobry,first_page,0019.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/46605
13091,oai:www.wbc.poznan.pl:73442,humor w polityce (rubryka),other_page,435_0001.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/73442
13092,oai:www.wbc.poznan.pl:73442,żydzi w europie,other_page,435_0001.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/73442
13093,oai:www.wbc.poznan.pl:50796,czeska żandarmeria,other_page,0663.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/50796
13094,oai:www.wbc.poznan.pl:50796,abisynia,other_page,0663.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/50796
13095,oai:www.wbc.poznan.pl:50796,zamieszki w atenach,other_page,0663.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/50796
13096,oai:www.wbc.poznan.pl:46608,stratosfera nęci lotników,other_page,0038.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/46608
13097,oai:www.wbc.poznan.pl:46608,codzienna nowelka,other_page,0038.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/46608
13098,oai:www.wbc.poznan.pl:51227,Ondes Martnenot,other_page,0661.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51227
13099,oai:www.wbc.poznan.pl:51227,pani pustynnych szlaków (powieść),other_page,0661.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51227
13111,oai:www.wbc.poznan.pl:61256,madame lenox,other_page,0142_0001.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/61256
13113,oai:www.wbc.poznan.pl:61256,jean harlow,other_page,0140_0001.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/61256
13114,oai:www.wbc.poznan.pl:61256,eksmisja policji z posterunku,other_page,0140_0001.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/61256
13115,oai:www.wbc.poznan.pl:61256,tragedia krzysztofa orlicza,other_page,0140_0001.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/61256
13116,oai:www.wbc.poznan.pl:61256,polityka niemiecka,first_page,0139_0001.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/61256
13117,oai:www.wbc.poznan.pl:51885,marsz głodowy na londyn,first_page,0479.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51885
13118,oai:www.wbc.poznan.pl:51885,strajki lata trzydzieste,first_page,0479.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51885
13119,oai:www.wbc.poznan.pl:51885,wolne miasto gdańsk,first_page,0479.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51885
13120,oai:www.wbc.poznan.pl:51866,nowy tomyśl,other_page,0428.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51866
13121,oai:www.wbc.poznan.pl:51866,uczymy się nowej pisowni (rubryka),other_page,0428.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51866
13122,oai:www.wbc.poznan.pl:51866,przesyłki z polski do niemiec,other_page,0428.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51866
13123,oai:www.wbc.poznan.pl:51866,zagadka starej kamiennicy,other_page,0428.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51866
13124,oai:www.wbc.poznan.pl:51866,lwy alcazaru,first_page,0427.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51866
13125,oai:www.wbc.poznan.pl:51866,sytuacja w hiszpanii,first_page,0427.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51866
13126,oai:www.wbc.poznan.pl:51866,socjaliści w szwecji,first_page,0427.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51866
