id,oai_id,value,order,file,verified,entry_type,has_attach,display_name,link_to_content
10,oai:www.wbc.poznan.pl:46605,podgórna,last_page,0024.djvu,1,1,FALSE,ul. podgórna,https://www.wbc.poznan.pl/dlibra/publication/edition/46605
1001,oai:www.wbc.poznan.pl:46996,wolności,first_page,0675.djvu,5,1,FALSE,pl. wolności,https://www.wbc.poznan.pl/dlibra/publication/edition/46996
10013,oai:www.wbc.poznan.pl:47633,wielka,other_page,1218.djvu,5,1,FALSE,ul. wielka,https://www.wbc.poznan.pl/dlibra/publication/edition/47633
10020,oai:www.wbc.poznan.pl:50736,młyńska,other_page,0480.djvu,5,1,FALSE,ul. młyńska,https://www.wbc.poznan.pl/dlibra/publication/edition/50736
10032,oai:www.wbc.poznan.pl:46147,kraszewskiego,last_page,078.djvu,5,1,FALSE,ul. kraszewskiego,https://www.wbc.poznan.pl/dlibra/publication/edition/46147
10033,oai:www.wbc.poznan.pl:46147,wolności,last_page,078.djvu,5,1,FALSE,pl. wolności,https://www.wbc.poznan.pl/dlibra/publication/edition/46147
10034,oai:www.wbc.poznan.pl:46147,focha,first_page,075.djvu,5,1,FALSE,ul. focha,https://www.wbc.poznan.pl/dlibra/publication/edition/46147
10035,oai:www.wbc.poznan.pl:46147,fredry,first_page,075.djvu,5,1,FALSE,ul. fredry,https://www.wbc.poznan.pl/dlibra/publication/edition/46147
10036,oai:www.wbc.poznan.pl:62239,fredry,other_page,0060_0001.djvu,5,1,FALSE,ul. fredry,https://www.wbc.poznan.pl/dlibra/publication/edition/62239
10052,oai:www.wbc.poznan.pl:50726,grochowe łąki,other_page,0046.djvu,5,1,FALSE,ul. grochowe łąki,https://www.wbc.poznan.pl/dlibra/publication/edition/50726
10053,oai:www.wbc.poznan.pl:50726,berwińskiego,last_page,0047.djvu,5,1,FALSE,ul. berwińskiego,https://www.wbc.poznan.pl/dlibra/publication/edition/50726
10054,oai:www.wbc.poznan.pl:50726,chwaliszewo,last_page,0047.djvu,5,1,FALSE,chwaliszewo,https://www.wbc.poznan.pl/dlibra/publication/edition/50726
10068,oai:www.wbc.poznan.pl:61465,3 maja,last_page,0824_0001.djvu,5,1,FALSE,ul. 3 maja,https://www.wbc.poznan.pl/dlibra/publication/edition/61465
10069,oai:www.wbc.poznan.pl:61465,wolności,last_page,0824_0001.djvu,5,1,FALSE,pl. wolności,https://www.wbc.poznan.pl/dlibra/publication/edition/61465
1007,oai:www.wbc.poznan.pl:46996,kraszewskiego,last_page,0680.djvu,5,1,FALSE,ul. kraszewskiego,https://www.wbc.poznan.pl/dlibra/publication/edition/46996
10092,oai:www.wbc.poznan.pl:51088,pocztowa,other_page,0880.djvu,5,1,FALSE,ul. pocztowa,https://www.wbc.poznan.pl/dlibra/publication/edition/51088
10099,oai:www.wbc.poznan.pl:51088,szewska,last_page,0882.djvu,5,1,FALSE,ul. szewska,https://www.wbc.poznan.pl/dlibra/publication/edition/51088
10112,oai:www.wbc.poznan.pl:61464,fredry,other_page,0816_0001.djvu,5,1,FALSE,ul. fredry,https://www.wbc.poznan.pl/dlibra/publication/edition/61464
10124,oai:www.wbc.poznan.pl:47087,górna wilda,other_page,0768.djvu,5,1,FALSE,górna wilda,https://www.wbc.poznan.pl/dlibra/publication/edition/47087
10125,oai:www.wbc.poznan.pl:46346,staszica,first_page,393.djvu,5,1,FALSE,ul. staszica,https://www.wbc.poznan.pl/dlibra/publication/edition/46346
10129,oai:www.wbc.poznan.pl:46346,focha,other_page,394.djvu,5,1,FALSE,ul. focha,https://www.wbc.poznan.pl/dlibra/publication/edition/46346
10133,oai:www.wbc.poznan.pl:46346,fredry,other_page,395.djvu,5,1,FALSE,ul. fredry,https://www.wbc.poznan.pl/dlibra/publication/edition/46346
10134,oai:www.wbc.poznan.pl:46346,piekary,other_page,395.djvu,5,1,FALSE,ul. piekary,https://www.wbc.poznan.pl/dlibra/publication/edition/46346
10139,oai:www.wbc.poznan.pl:62240,fredry,other_page,0067_0001.djvu,5,1,FALSE,ul. fredry,https://www.wbc.poznan.pl/dlibra/publication/edition/62240
1014,oai:www.wbc.poznan.pl:50913,młyńska,other_page,0331.djvu,5,1,FALSE,ul. młyńska,https://www.wbc.poznan.pl/dlibra/publication/edition/50913
10146,oai:www.wbc.poznan.pl:62242,fredry,other_page,0079_0001.djvu,5,1,FALSE,ul. fredry,https://www.wbc.poznan.pl/dlibra/publication/edition/62242
10147,oai:www.wbc.poznan.pl:50667,sapieżyński,other_page,0222.djvu,5,1,FALSE,pl. sapieżyński,https://www.wbc.poznan.pl/dlibra/publication/edition/50667
1015,oai:www.wbc.poznan.pl:50913,wolności,other_page,0331.djvu,5,1,FALSE,pl. wolności,https://www.wbc.poznan.pl/dlibra/publication/edition/50913
10152,oai:www.wbc.poznan.pl:50667,wolności,other_page,0223.djvu,5,1,FALSE,pl. wolności,https://www.wbc.poznan.pl/dlibra/publication/edition/50667
10156,oai:www.wbc.poznan.pl:74164,nowomiejski,other_page,1009_0001.djvu,5,1,FALSE,pl. nowomiejski,https://www.wbc.poznan.pl/dlibra/publication/edition/74164
1016,oai:www.wbc.poznan.pl:50913,szkolna,other_page,0331.djvu,5,1,FALSE,ul. szkolna,https://www.wbc.poznan.pl/dlibra/publication/edition/50913
10161,oai:www.wbc.poznan.pl:74066,kościuszki,other_page,897_0001.djvu,5,1,FALSE,ul. kościuszki,https://www.wbc.poznan.pl/dlibra/publication/edition/74066
10167,oai:www.wbc.poznan.pl:74138,strzelecka,last_page,0938_0001.djvu,5,1,FALSE,ul. strzelecka,https://www.wbc.poznan.pl/dlibra/publication/edition/74138
10168,oai:www.wbc.poznan.pl:74138,szeląg,other_page,0936_0001.djvu,1,1,FALSE,szeląg,https://www.wbc.poznan.pl/dlibra/publication/edition/74138
10176,oai:www.wbc.poznan.pl:61250,matejki,first_page,0103_0001.djvu,5,1,FALSE,ul. matejki,https://www.wbc.poznan.pl/dlibra/publication/edition/61250
10177,oai:www.wbc.poznan.pl:61250,kochanowskiego,last_page,0108_0001.djvu,5,1,FALSE,ul. kochanowskiego,https://www.wbc.poznan.pl/dlibra/publication/edition/61250
10180,oai:www.wbc.poznan.pl:61250,szkolna,last_page,0108_0001.djvu,5,1,FALSE,ul. szkolna,https://www.wbc.poznan.pl/dlibra/publication/edition/61250
10181,oai:www.wbc.poznan.pl:61250,św. marcin,last_page,0108_0001.djvu,5,1,FALSE,ul. św. marcin,https://www.wbc.poznan.pl/dlibra/publication/edition/61250
10183,oai:www.wbc.poznan.pl:61250,fredry,other_page,0106_0001.djvu,5,1,FALSE,ul. fredry,https://www.wbc.poznan.pl/dlibra/publication/edition/61250
